option_name,index,option_value,fQ,EC,EJ,alpha,dispersion,gbus_1,gbus_2,gbus_3,chi_in_MHz_1,chi_in_MHz_2,chi_in_MHz_3
connection_pads.bus_01.cpw_extend_in_um,0,190.0,5.477982472118011,309.4189404994872,13.616300010297985,-359.60558306211567,35.306886407852176,-120.5407174276712,86.87343434238832,34.62554019892338,-4.772065250189998,-24.77308161262643,-1.8803766990825885
connection_pads.bus_01.cpw_extend_in_um,1,132.0,5.479059746804406,309.5490074553229,13.616300010297985,-359.77150967482055,35.44111577033996,-120.61574091899605,86.58672315238863,34.56635181537316,-4.786595579451067,-24.7366920816884,-1.880617246816556
connection_pads.bus_01.cpw_extend_in_um,2,122.0,5.474693816313382,309.02207203454327,13.616300010297985,-359.0993725469299,34.899925562858584,-120.67096469236844,86.59123745805698,34.58419704711065,-4.75626265603034,-24.231017152341373,-1.8557312015944243
connection_pads.bus_01.cpw_extend_in_um,3,199.0,5.478461130425908,309.47672841233197,13.616300010297985,-359.67930168823807,35.366471334457394,-120.53075669239355,86.85467676803727,34.607282476779176,-4.775084800620128,-24.81898034056567,-1.8813578928247245
connection_pads.bus_01.cpw_extend_in_um,4,71.0,5.436769809441967,304.466579016156,13.616300010297985,-353.2968875235707,30.501054780960082,-97.71923255416641,80.28692196500637,50.52029723756954,-2.9298344040479125,-17.537518675813814,-3.5078047385408984
connection_pads.bus_01.cpw_extend_in_um,5,91.0,5.434973007544557,304.2517065347539,13.616300010297985,-353.0235648242779,30.30554546546936,-97.60335267833081,80.27250006699808,50.48993554951286,-2.914312272938628,-17.394716167848348,-3.4840280598529962
connection_pads.bus_01.cpw_extend_in_um,6,173.0,5.478328024400201,309.4606580403422,13.616300010297985,-359.6588008669392,35.34989297389984,-120.69864287217274,86.82354492380732,34.609073331374525,-4.78733408073671,-24.785445328546142,-1.8807277165642304
connection_pads.bus_01.cpw_extend_in_um,7,195.0,5.474458072417991,308.9936341587657,13.616300010297985,-359.06310404119114,34.870914796829226,-120.61270925337311,86.94663955354919,34.64057620914755,-4.749807809033478,-24.403108233032885,-1.8603486770038986
connection_pads.bus_01.cpw_extend_in_um,8,201.0,5.474487678476049,308.99720546633023,13.616300010297985,-359.0676587091224,34.874557067871095,-120.62180643531481,86.93205392952565,34.631909497383944,-4.750758375716874,-24.398336694198775,-1.859598314641657
connection_pads.bus_01.cpw_extend_in_um,9,137.0,5.479086935185098,309.55229050589793,13.616300010297985,-359.7756980248588,35.444509255409244,-120.61720469072756,86.61072654338679,34.562861482173325,-4.786928770555657,-24.75362494398208,-1.880406052718276
connection_pads.bus_01.cpw_extend_in_um,10,83.0,5.435356237847816,304.29752824646306,13.616300010297985,-353.0818483120402,30.347150100708006,-97.59327900854831,80.24782266424904,50.48277673424654,-2.915537143703263,-17.412987808694208,-3.4871983104578406
connection_pads.bus_01.cpw_extend_in_um,11,50.0,5.44301391250004,305.2139630537062,13.616300010297985,-354.24783477386353,31.189285358428954,-97.58428169928395,80.18782080452029,50.485713320922656,-2.951794044411051,-17.980015012458185,-3.5721825363139685
connection_pads.bus_01.cpw_extend_in_um,12,103.0,5.436219450424784,304.4007545050064,13.616300010297985,-353.2131537285182,30.441050699234008,-97.60193609296822,80.3287704913604,50.52824072010795,-2.9201743941913483,-17.513769909688257,-3.5028907318504263
connection_pads.bus_01.cpw_extend_in_um,13,97.0,5.43557208024854,304.32333762389356,13.616300010297985,-353.11467752826866,30.370605343818664,-97.62079280571155,80.30854442738062,50.51386602957769,-2.918211178698544,-17.455719351982616,-3.4938426494073926
connection_pads.bus_01.cpw_extend_in_um,14,152.0,5.478888870493998,309.52837426151996,13.616300010297985,-359.7451870663104,35.41979387664795,-120.61549992934306,86.69553601327274,34.566407300284666,-4.785212879509361,-24.778666037498326,-1.8795640669418365
connection_pads.bus_01.cpw_extend_in_um,15,139.0,5.474455160440417,308.9932828951975,13.616300010297985,-359.0626560575972,34.870556601524356,-120.6322587412876,86.6568055649064,34.56097110175156,-4.751324655039409,-24.240351608427037,-1.8517905548416997
connection_pads.bus_01.cpw_extend_in_um,16,92.0,5.434216004145637,304.1612055042672,13.616300010297985,-352.9084553490094,30.22351249885559,-97.64130531459885,80.35161168407369,50.52268004601888,-2.91297210193269,-17.371863884796163,-3.48034229262025
connection_pads.bus_01.cpw_extend_in_um,17,81.0,5.43554357310036,304.31992880678297,13.616300010297985,-353.11034152673267,30.367506505966187,-97.5956118464006,80.23980229427323,50.48628472616278,-2.91656990943978,-17.42368923502208,-3.489718428174378
connection_pads.bus_01.cpw_extend_in_um,18,101.0,5.436105072963655,304.3870756577293,13.616300010297985,-353.1957535818615,30.42859374332428,-97.61985443178345,80.3266121483043,50.528235786840554,-2.9207001684294185,-17.50411172361546,-3.50164135344769
connection_pads.bus_01.cpw_extend_in_um,19,107.0,5.4385702182447835,304.68197005556397,13.616300010297985,-353.57090304441175,30.698088594436644,-97.51193466575488,80.23688581096937,50.49590137565129,-2.926027872176422,-17.653902185652527,-3.524178271037857
connection_pads.bus_01.cpw_gap_in_um,0,65.0,5.476960532151937,309.29558349684135,13.616300010297985,-359.4482275871813,35.17997222900391,-120.91123422342434,87.0153742718426,34.71651146500732,-4.793278072286864,-24.7334632582208,-1.8839249763009747
connection_pads.bus_01.cpw_gap_in_um,1,76.0,5.483164228047191,310.04485796027376,13.616300010297985,-360.40417852916937,35.9567303276062,-120.74363140499457,87.06972797191297,34.61793240431668,-4.829723934584426,-25.511317325334243,-1.912009304540825
connection_pads.bus_01.cpw_gap_in_um,2,34.0,5.482871122807389,310.0094336559212,13.616300010297985,-360.3589738501404,35.91968856716156,-120.78946251146519,86.23026952978402,34.60332492072593,-4.831025164426029,-24.986418470015582,-1.9085404949742688
connection_pads.bus_01.cpw_gap_in_um,3,43.0,5.482947127555777,310.018619264219,13.616300010297985,-360.370695446675,35.929290327072145,-120.77827718815408,86.41313057175714,34.60463054129026,-4.830743735676223,-25.101702123336672,-1.9091654731615688
connection_pads.bus_01.cpw_gap_in_um,4,52.0,5.483207409321698,310.05007698734084,13.616300010297985,-360.41083856528684,35.96219027900696,-120.74877209285255,86.5784080844608,34.55809270820058,-4.830483644569104,-25.229473797472554,-1.905677782289369
connection_pads.bus_01.cpw_gap_in_um,5,85.0,5.482758939963922,309.9958760035773,13.616300010297985,-360.3416732744115,35.90552011203766,-120.72098185333185,87.25956165563314,34.63663257144373,-4.824644771167885,-25.572647458752154,-1.9115055339435667
connection_pads.bus_01.cpw_gap_in_um,6,14.0,5.442432205063666,305.14429156660304,13.616300010297985,-354.15917010674775,31.12458689022064,-97.2958394000713,80.2018879292078,50.38718995985588,-2.931570828029623,-17.940221904722396,-3.5517539225372916
connection_pads.bus_01.cpw_gap_in_um,7,7.0,5.435689092543497,304.3373299056655,13.616300010297985,-353.13247574111796,30.383327481269838,-97.63317694322795,80.33596704172278,50.52390054387134,-2.9195102887427162,-17.476532167815712,-3.496505158548257
connection_pads.bus_01.cpw_gap_in_um,8,12.0,5.442170270098757,305.1129224190577,13.616300010297985,-354.1192505358573,31.095493223190307,-97.32595599695924,80.22068650964752,50.394308649746925,-2.9321259298542297,-17.927920808240433,-3.549835367215018
connection_pads.bus_01.cpw_gap_in_um,9,13.0,5.441960538798707,305.0878064787031,13.616300010297985,-354.0872891442368,31.072215662002563,-97.33774517538272,80.26084476572505,50.41099836307239,-2.931827655718969,-17.929299171063494,-3.5498481155029125
connection_pads.bus_01.cpw_gap_in_um,10,3.0,5.438216240352363,304.6396151848294,13.616300010297985,-353.51701752705077,30.659260201454163,-97.52363882875912,80.12369194189458,50.467709490115205,-2.9250344173492957,-17.576899249356455,-3.5163511903784
connection_pads.bus_01.cpw_gap_in_um,11,9.0,5.435853473017778,304.3569870775932,13.616300010297985,-353.1574799435321,30.401207864761354,-97.62738451528213,80.36136764841258,50.52399780572307,-2.9199488230564334,-17.500092887050688,-3.4983098492982707
connection_pads.bus_01.cpw_gap_in_um,12,2.0,5.43560078564235,304.3267701688628,13.616300010297985,-353.1190437199395,30.373725644111634,-97.63854262346733,80.23159934232673,50.52599001883422,-2.919409529606043,-17.424460634821262,-3.4958325570631503
connection_pads.bus_01.cpw_gap_in_um,13,4.0,5.438289909792962,304.6484297499254,13.616300010297985,-353.52823165436484,30.667337409973143,-97.52278425486853,80.13879957957,50.46701786236453,-2.9253359963330374,-17.5891919007454,-3.517064514876773
connection_pads.bus_01.cpw_gap_in_um,14,50.0,5.4831974637554906,310.0488749299016,13.616300010297985,-360.4093046098296,35.960932523727415,-120.74865956092403,86.54152024313856,34.554030253985665,-4.830394383346346,-25.206769937457953,-1.9051669297330105
connection_pads.bus_01.cpw_gap_in_um,15,37.0,5.482769088417734,309.99710246239454,13.616300010297985,-360.3432383218984,35.90680172348022,-120.7931964957325,86.29172517794055,34.60971595287642,-4.830500529676702,-25.009740572387617,-1.908599966032125
connection_pads.bus_01.cpw_gap_in_um,16,78.0,5.482901675631522,310.01312612057984,13.616300010297985,-360.3636857333949,35.9235480298996,-120.7338248471737,87.12218964009067,34.6225081884827,-4.826822011722705,-25.509742059726094,-1.9108506966376535
connection_pads.bus_01.cpw_gap_in_um,17,74.0,5.483383707757039,310.0713855039762,13.616300010297985,-360.4380307123577,35.984489773750305,-120.73859819929565,87.02699233853129,34.60164394414841,-4.83109239689012,-25.513291818668808,-1.9116014419043679
connection_pads.bus_01.cpw_gap_in_um,18,8.0,5.435847106870597,304.35622577867963,13.616300010297985,-353.1565115553312,30.400515316963197,-97.62638482830647,80.33982528360099,50.523067915082756,-2.9198586200829215,-17.490227314226185,-3.4981116858677517
connection_pads.bus_01.cpw_gap_in_um,19,10.0,5.435842707505323,304.3556996790067,13.616300010297985,-353.1558423457555,30.400036609649657,-97.6273518553081,80.38425886390192,50.52383982335498,-2.9198954541259754,-17.509244228016932,-3.4981706229887775
connection_pads.bus_01.cpw_width_in_um,0,90.0,5.46732784717008,308.13422204322603,13.616300010297985,-357.9673191273038,34.00359644031525,-121.29960321682766,85.87805687663568,34.90981098470039,-4.7474926818068734,-23.024009683950176,-1.8459534714730779
connection_pads.bus_01.cpw_width_in_um,1,95.0,5.467151039241253,308.1129286858597,13.616300010297985,-357.94017598058616,33.98233706569672,-121.30346841341144,86.06704450386613,34.92247252623533,-4.7464031861255505,-23.10644634715163,-1.8462331343399316
connection_pads.bus_01.cpw_width_in_um,2,23.0,5.482639445149227,309.9814350507694,13.616300010297985,-360.3232456868263,35.89043382740021,-120.74626610296062,81.76587107404417,34.66603108499774,-4.825702749102674,-22.44107449715253,-1.9139936724440936
connection_pads.bus_01.cpw_width_in_um,3,92.0,5.4672702852234085,308.12728964205877,13.616300010297985,-357.9584821956724,33.9966739320755,-121.2997665780888,85.95603227399677,34.910628872721176,-4.747052239060295,-23.059663595603347,-1.8456951402029969
connection_pads.bus_01.cpw_width_in_um,4,8.0,5.441729468824962,305.060136541801,13.616300010297985,-354.05207817748334,31.046587664604186,-97.3796436857906,81.14832937326617,50.37568366672233,-2.9332404474851796,-18.309356568593323,-3.5423054792061026
connection_pads.bus_01.cpw_width_in_um,5,19.0,5.437579500071874,304.56343516016744,13.616300010297985,-353.42010156612565,30.589525399208068,-97.63428196157156,83.24152961057496,50.341818621583755,-2.9286208318920526,-18.918751451944807,-3.4918771956487404
connection_pads.bus_01.cpw_width_in_um,6,13.0,5.441570941814893,305.0411542395733,13.616300010297985,-354.0279228484862,31.029016486167908,-97.41083118804782,82.12217399361283,50.34069928383993,-2.934356700249066,-18.738365868332036,-3.5356273949174
connection_pads.bus_01.cpw_width_in_um,7,14.0,5.441670337610992,305.0530559873379,13.616300010297985,-354.0430680114005,31.04003243637085,-97.40662780780123,82.23811862977361,50.33056417605855,-2.9345817223709587,-18.79953849566736,-3.5353066458130993
connection_pads.bus_01.cpw_width_in_um,8,7.0,5.441675908523018,305.05372306155476,13.616300010297985,-354.0439168769355,31.040650142669676,-97.36817248326032,80.93775955977004,50.386244152366565,-2.932291870005042,-18.210164269034912,-3.5431950486261217
connection_pads.bus_01.cpw_width_in_um,9,9.0,5.441590919768824,305.0435463975226,13.616300010297985,-354.0309668992754,31.031230264663698,-97.38797507663197,81.37009566053888,50.37095320581047,-2.9330759311273757,-18.398341720018692,-3.540100344502178
connection_pads.bus_01.cpw_width_in_um,10,15.0,5.441433795305551,305.0247326223668,13.616300010297985,-354.0070262466906,31.013822261810304,-97.42670410402904,82.4818213925634,50.32674635993319,-2.9346530633656496,-18.89144607283166,-3.532147153565946
connection_pads.bus_01.cpw_width_in_um,11,4.0,5.435729604038083,304.3421743393461,13.616300010297985,-353.13863790398074,30.387733196258544,-97.6332481313568,80.31568190650404,50.52341068348861,-2.919707993773176,-17.470785253953732,-3.496878675153653
